题目,出现次数,链接,分类
381. O(1) 时间插入、删除和获取随机元素 - 允许重复,2,https://leetcode-cn.com/problems/insert-delete-getrandom-o1-duplicates-allowed,其他
补充题20. 立方根,2,,其他
395. 至少有K个重复字符的最长子串,2,https://leetcode-cn.com/problems/longest-substring-with-at-least-k-repeating-characters,动态规划
剑指 Offer 52. 两个链表的第一个公共节点,1,https://leetcode-cn.com/problems/liang-ge-lian-biao-de-di-yi-ge-gong-gong-jie-dian-lcof,链表
111. 二叉树的最小深度,1,https://leetcode-cn.com/problems/minimum-depth-of-binary-tree,树
994. 腐烂的橘子,1,https://leetcode-cn.com/problems/rotting-oranges,其他
344. 反转字符串,1,https://leetcode-cn.com/problems/reverse-string,字符串
1299. 将每个元素替换为右侧最大元素,1,https://leetcode-cn.com/problems/replace-elements-with-greatest-element-on-right-side,其他
67. 二进制求和,1,https://leetcode-cn.com/problems/add-binary,其他
515. 在每个树行中找最大值,1,https://leetcode-cn.com/problems/find-largest-value-in-each-tree-row,树
1147. 段式回文,1,https://leetcode-cn.com/problems/longest-chunked-palindrome-decomposition,其他
876. 链表的中间结点,1,https://leetcode-cn.com/problems/middle-of-the-linked-list,链表
100. 相同的树,1,https://leetcode-cn.com/problems/same-tree,树
842. 将数组拆分成斐波那契序列,1,https://leetcode-cn.com/problems/split-array-into-fibonacci-sequence,数组
剑指 Offer 33. 二叉搜索树的后序遍历序列,1,https://leetcode-cn.com/problems/er-cha-sou-suo-shu-de-hou-xu-bian-li-xu-lie-lcof,树
剑指 Offer 38. 字符串的排列,1,https://leetcode-cn.com/problems/zi-fu-chuan-de-pai-lie-lcof,字符串
剑指 Offer 24. 反转链表,1,https://leetcode-cn.com/problems/fan-zhuan-lian-biao-lcof,链表
剑指 Offer 53 - II. 0～n-1中缺失的数字,1,https://leetcode-cn.com/problems/que-shi-de-shu-zi-lcof,数学
701. 二叉搜索树中的插入操作,1,https://leetcode-cn.com/problems/insert-into-a-binary-search-tree,树
349. 两个数组的交集,1,https://leetcode-cn.com/problems/intersection-of-two-arrays,数组
1156. 单字符重复子串的最大长度,1,https://leetcode-cn.com/problems/swap-for-longest-repeated-character-substring,动态规划
449. 序列化和反序列化二叉搜索树,1,https://leetcode-cn.com/problems/serialize-and-deserialize-bst,树
面试题 08.12. 八皇后,1,https://leetcode-cn.com/problems/eight-queens-lcci,其他
37. 解数独,1,https://leetcode-cn.com/problems/sudoku-solver,数学
410. 分割数组的最大值,1,https://leetcode-cn.com/problems/split-array-largest-sum,数组
694. 不同岛屿的数量,1,https://leetcode-cn.com/problems/number-of-distinct-islands,数学
剑指 Offer 18. 删除链表的节点,1,https://leetcode-cn.com/problems/shan-chu-lian-biao-de-jie-dian-lcof,链表
912. 排序数组,1,https://leetcode-cn.com/problems/sort-an-array,数组
173. 二叉搜索树迭代器,1,https://leetcode-cn.com/problems/binary-search-tree-iterator,树
1139. 最大的以 1 为边界的正方形,1,https://leetcode-cn.com/problems/largest-1-bordered-square,其他
剑指 Offer 25. 合并两个排序的链表,1,https://leetcode-cn.com/problems/he-bing-liang-ge-pai-xu-de-lian-biao-lcof,链表
325. 和等于 k 的最长子数组长度,1,https://leetcode-cn.com/problems/maximum-size-subarray-sum-equals-k,数组
1363. 形成三的最大倍数,1,https://leetcode-cn.com/problems/largest-multiple-of-three,数学
951. 翻转等价二叉树,1,https://leetcode-cn.com/problems/flip-equivalent-binary-trees,树
107. 二叉树的层次遍历 II,1,https://leetcode-cn.com/problems/binary-tree-level-order-traversal-ii,树
637. 二叉树的层平均值,1,https://leetcode-cn.com/problems/average-of-levels-in-binary-tree,树
277. 搜寻名人,1,https://leetcode-cn.com/problems/find-the-celebrity,其他
321. 拼接最大数,1,https://leetcode-cn.com/problems/create-maximum-number,数学
525. 连续数组,1,https://leetcode-cn.com/problems/contiguous-array,数组
剑指 Offer 58 - II. 左旋转字符串,1,https://leetcode-cn.com/problems/zuo-xuan-zhuan-zi-fu-chuan-lcof,数组
97. 交错字符串,1,https://leetcode-cn.com/problems/interleaving-string,字符串
204. 计数质数,1,https://leetcode-cn.com/problems/count-primes,数学
202. 快乐数,1,https://leetcode-cn.com/problems/happy-number,数学
1669. 合并两个链表,1,https://leetcode-cn.com/problems/merge-in-between-linked-lists,链表
807. 保持城市天际线,1,https://leetcode-cn.com/problems/max-increase-to-keep-city-skyline,其他
889. 根据前序和后序遍历构造二叉树,1,https://leetcode-cn.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal,树
剑指 Offer 05. 替换空格,1,https://leetcode-cn.com/problems/ti-huan-kong-ge-lcof,其他
279. 完全平方数,1,https://leetcode-cn.com/problems/perfect-squares,数学
17. 电话号码的字母组合,1,https://leetcode-cn.com/problems/letter-combinations-of-a-phone-number,其他
459. 重复的子字符串,1,https://leetcode-cn.com/problems/repeated-substring-pattern,字符串
剑指 Offer 59 - II. 队列的最大值,1,https://leetcode-cn.com/problems/dui-lie-de-zui-da-zhi-lcof,栈与队列
